GATE_HI_CC: 1540.312,754.2491,1086.584,501.4436,1,0
GATE_HI_DS: 1286.686,-234.7842,928.5977,-168.1634,1,0
GATE_HI_GW: 367.868,386.0755,353.7735,405.8113,1,0
GATE_HI_SH: 369.868,178.0755,353.7735,288.8113,1,0
GATE_SH_HI: -2217.314,110.2157,-1551.401,104.8367,1,0
GATE_SU_HI: 368.868,282.0755,353.7735,164.8113,1,0
HI_A04: 549.8589,-447.6055,329.9432,-425.6117,2,1
HI_A06: -138.1411,96.65797,-126.2941,107.6781,1,1
HI_A07: -934.1406,500.6577,-722.2939,341.6779,1,1
HI_A10: 1351.859,302.6581,957.7061,193.6781,1,1
HI_A11: -866.1406,57.6577,-644.2939,68.6779,1,1
HI_A14: -678.1406,-321.3423,-499.2938,-247.3222,2,1
HI_A15: 1080.86,190.6581,831.7061,72.67817,1,1
HI_A16: -297.1411,-500.3418,-291.2934,-361.3219,2,1
HI_A17: 1345.859,167.6583,950.7061,64.67822,1,1
HI_A18: -1186.141,426.658,-873.2939,290.6781,1,1
HI_A19: 566.8589,-222.3419,471.7064,-179.3219,1,1
HI_A20: 1608.86,155.6581,1091.707,61.67811,1,1
HI_A21: -25.14075,402.658,75.70621,141.6783,0,0
HI_A22: -17.14087,547.6581,73.70634,259.6779,0,1
HI_A23: 10.85956,-266.3417,76.70634,-233.3219,0,1
HI_A24: 232.8595,-545.342,85.70618,-413.3219,2,1
HI_A25: 373.8589,-174.3419,338.7064,-154.3218,1,1
HI_A26: 390.8593,-617.342,216.7066,-528.3221,2,1
HI_A27: -496.8227,-321.2568,-381.5085,-237.994,2,1
HI_B02: -11.14094,583.6581,74.70621,378.6781,1,1
HI_B03: -18.14093,-463.3418,-154.2937,-374.3219,2,1
HI_B04: 935.8598,50.65793,703.7061,-35.32174,0,1
HI_B05: 1.859426,101.6579,72.70634,-65.32187,0,1
HI_B06: -1289.141,83.65758,-996.2939,89.67786,1,1
HI_B07: -658.1406,442.658,-572.2939,348.678,1,1
HI_B08: -644.1411,-488.3422,-563.2939,-368.3222,2,1
HI_B09: -488.1403,260.658,-394.2936,124.6781,1,1
HI_B12: -71.14045,348.6578,-46.29363,240.6781,1,1
HI_B13: 1017.86,358.6581,739.7061,197.6781,0,1
HI_B14: -1035.141,-413.3422,-757.2939,-332.3222,1,1
HI_B15: 730.8593,-553.342,464.7062,-492.322,2,1
HI_C01: -328.141,121.6583,-263.2937,42.67812,2,1
HI_C02: -1030.141,-45.34215,-788.2939,-106.3218,1,1
HI_C03: -700.1411,-69.34225,-531.2939,-114.3217,1,1
HI_C04: 187.8591,-135.3422,205.7062,-241.3218,0,1
HI_C05: 542.859,-32.34206,353.7066,-42.32181,0,1
HI_C11: 1532.859,452.6581,1074.707,182.678,1,1
HI_C13: 918.0028,-265.1555,601.6027,-183.3551,1,1
HI_C14: -280.9026,-260.1567,-261.0688,-245.634,2,1
HI_D01: -1808.142,84.65758,-1437.292,94.67786,1,1
HI_S01: -964.4832,631.0721,-724.6036,466.381,1,0
HI_S02: 933.1725,-384.4483,721.0482,-304.3238,1,0
HI_S03: 393.2774,-513.6599,214.6036,-399.049,2,0
HI_S04: -1197.212,-334.0217,-886.3965,-244.0491,1,0
HI_S05: 1425.288,425.4159,975.541,332.9509,0,0
HI_S06: -2109.257,-27.4356,-1507.396,-24.955,1,0
OffScreenDen_HI: -576.1411,-868.3417,193.7062,954.6781,1,1
Connection: GATE_HI_CC,HI_C11,36,5,22,117,3,1
Connection: GATE_HI_DS,HI_C13,2,9,147,17,2,0
Connection: GATE_SH_HI,HI_D01,45,9,5,16,0,2
Connection: GATE_SH_HI,HI_S06,36,5,27,25,3,1
Connection: HI_A04,HI_A26,5,3,45,30,3,1
Connection: HI_A04,HI_B15,33,17,7,30,3,1
Connection: HI_A06,HI_B12,50,29,26,5,0,0
Connection: HI_A06,HI_C01,3,22,49,67,2,0
Connection: HI_A07,HI_S01,19,31,24,12,1,3
Connection: HI_A07,HI_A18,3,3,49,22,2,0
Connection: HI_A07,HI_B07,50,3,4,29,0,2
Connection: HI_A10,HI_S05,42,26,18,10,1,3
Connection: HI_A10,HI_C11,42,5,11,17,3,3
Connection: HI_A10,HI_A17,10,7,11,30,3,1
Connection: HI_A11,HI_C02,3,20,43,102,2,3
Connection: HI_A11,HI_C03,43,20,3,105,0,2
Connection: HI_A14,HI_C03,16,31,33,12,1,3
Connection: HI_A14,HI_A27,43,19,4,12,0,2
Connection: HI_A14,HI_B08,16,1,33,31,3,1
Connection: HI_A15,HI_B13,16,30,44,42,1,3
Connection: HI_A15,HI_A17,43,18,4,23,0,2
Connection: HI_A15,HI_B04,16,4,49,44,3,0
Connection: HI_A16,HI_C14,20,27,15,9,1,3
Connection: HI_A16,HI_B08,3,16,97,19,2,0
Connection: HI_A16,HI_B03,51,13,5,23,0,2
Connection: HI_A17,HI_A20,50,17,13,18,0,2
Connection: HI_A18,HI_B06,10,3,66,34,3,1
Connection: HI_A19,HI_A25,4,32,48,16,2,0
Connection: HI_A19,HI_C13,50,10,3,19,0,2
Connection: HI_A20,HI_C11,28,29,48,20,1,0
Connection: HI_A21,HI_A22,20,27,17,13,1,3
Connection: HI_A21,HI_B05,22,10,17,55,3,1
Connection: HI_A22,HI_B02,31,10,32,19,0,2
Connection: HI_A23,HI_B05,15,30,16,5,1,3
Connection: HI_A23,HI_C04,49,23,6,25,0,2
Connection: HI_A24,HI_B03,5,29,99,9,2,3
Connection: HI_A24,HI_S03,48,29,16,23,0,2
Connection: HI_A24,HI_A26,25,26,5,30,3,1
Connection: HI_A25,HI_C04,15,16,48,40,3,1
Connection: HI_B02,HI_B12,11,50,34,75,2,1
Connection: HI_B04,HI_B13,32,74,21,42,0,3
Connection: HI_B04,HI_C05,5,16,153,25,2,0
Connection: HI_B04,HI_B15,8,5,85,31,2,1
Connection: HI_B05,HI_C04,42,9,2,106,0,2
Connection: HI_B06,HI_D01,4,19,190,18,2,0
Connection: HI_B06,HI_C02,97,19,3,102,0,2
Connection: HI_B07,HI_B09,79,10,8,68,3,2
Connection: HI_B08,HI_B14,10,17,48,22,3,0
Connection: HI_B09,HI_C01,49,33,15,88,0,2
Connection: HI_B14,HI_C02,35,68,35,9,1,3
Connection: HI_B14,HI_S04,4,62,21,17,2,0
Connection: HI_C01,HI_C14,36,4,18,117,3,1
Connection: HI_C04,HI_C05,51,106,10,23,0,2
Connection: HI_C13,HI_S02,81,14,23,19,3,1
