GATE_LF_GW: 2384.145,-19.0802,1638.717,-32.35772,1,0
GATE_LF_SB: -3534.923,-433.9897,-2449.943,-377.1312,1,0
GATE_LF_SU: 666.7164,152.4996,117.7333,302.3428,1,0
GATE_SI_LF: 813.7164,150.4996,231.7333,305.3428,1,0
GATE_SU_LF: -1618.92,491.0101,-1029.941,433.8688,1,0
LF_A01: 513.9757,-5.523506,409.8719,36.16986,0,1
LF_A02: 706.976,382.4765,559.8722,406.1696,1,1
LF_A03: -886.024,-420.5235,-535.1279,-397.8302,1,1
LF_A04: -432.0242,438.4765,-151.1276,415.1698,1,1
LF_A05: -2177.021,-417.5229,-1406.127,-404.8302,1,1
LF_A06: -577.022,-515.5235,-304.1294,-536.8303,2,1
LF_A07: 1056.979,-84.52367,682.8719,117.17,1,1
LF_A10: 1267.976,553.4767,943.8719,514.1699,0,1
LF_A11: 327.9758,-232.5231,299.8723,-162.8301,1,1
LF_A12: 446.9757,387.4771,450.8724,411.17,1,1
LF_A13: -462.0238,-400.5231,-226.1279,-389.8302,2,1
LF_A14: 1424.979,-175.5231,1072.871,-144.8302,1,0
LF_A15: 1365.491,-326.7691,1054.16,-265.0824,1,1
LF_A17: 1393.21,438.2209,943.5125,402.0636,1,1
LF_B01: 1179.977,-253.5229,871.8719,-399.83,2,1
LF_B02: 1554.978,490.4767,1060.871,400.1696,0,1
LF_B03: -1356.023,452.4766,-912.1275,416.1698,1,0
LF_B04: 2142.979,-12.52351,1409.871,-31.8301,1,0
LF_B05: -1077.024,-15.52345,-676.028,4.694896,1,1
LF_C01: -128.0216,-395.5235,-113.1276,-389.8302,2,1
LF_C02: 134.9755,-42.5236,35.87218,-18.83014,0,1
LF_C05: 1057.467,275.233,682.8258,234.6706,1,1
LF_D01: 768.976,535.4767,510.8729,535.1696,0,1
LF_D02: -682.0243,-240.5233,-459.1281,-271.8306,1,1
LF_D03: 1804.979,395.4766,1169.871,264.1698,0,1
LF_D04: 1810.977,-85.52312,1181.873,-118.83,1,1
LF_D06: 1567.978,83.47668,1070.873,-11.83011,1,1
LF_D07: -946.1554,-415.8632,-741.4599,-498.9964,2,1
LF_D08: 719.747,-208.0613,420.8185,-203.0243,1,1
LF_E01: -836.0237,539.4767,-689.1281,526.1699,0,1
LF_E02: -5.024139,536.4767,-42.12748,537.1699,0,1
LF_E03: -121.024,-159.5233,-229.1281,-177.83,1,1
LF_E04: 588.976,-337.5236,249.8719,-400.8302,2,1
LF_E05: -562.0239,-58.52349,-562.1297,-18.83011,0,1
LF_F02: -1347.021,232.4766,-916.1275,68.16988,0,1
LF_H01: -1536.023,-309.5234,-1370.127,-283.8302,1,1
LF_H02: 950.9755,-66.52348,569.8723,-75.83011,0,1
LF_J01: -2612.021,-363.5234,-1978.129,-375.8302,1,1
LF_S01: -1585.022,29.47683,-1037.127,70.16968,0,0
LF_S01Q: -2217.773,-518.422,-1411.09,-532.4023,1,0
LF_S02: 1919.979,42.4767,1323.873,76.16985,0,0
LF_S03: 405.9782,17.4765,287.8705,114.1698,1,0
LF_S04: -3472.286,-534.2853,-2415.396,-516.9494,1,0
LF_S05: -607.7629,-642.0244,-326.2654,-668.2101,2,0
LF_S06: -435.4782,331.6165,-153.5498,291.3136,1,0
LF_S07: 1577.666,348.7799,950.7763,224.7423,1,0
OffScreenDen_LF: -1341.024,386.477,-69.12746,600.1699,1,1
Connection: GATE_LF_GW,LF_B04,2,11,96,8,2,0
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_SU_LF,LF_B03,45,9,3,21,0,2
Connection: LF_A01,LF_S03,4,26,24,18,2,0
Connection: LF_A01,LF_H02,50,10,19,51,0,2
Connection: LF_A01,LF_C02,7,10,150,20,2,0
Connection: LF_A02,LF_C05,45,19,6,97,0,2
Connection: LF_A02,LF_A12,4,6,42,5,2,0
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_A03,LF_D02,44,32,7,1,1,2
Connection: LF_A04,LF_E01,5,30,239,2,1,3
Connection: LF_A04,LF_E02,42,30,8,8,1,3
Connection: LF_A04,LF_S06,8,5,7,23,2,1
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_H01,43,29,21,3,1,3
Connection: LF_A05,LF_S01Q,9,3,9,18,2,1
Connection: LF_A06,LF_D07,5,29,189,20,1,3
Connection: LF_A06,LF_A13,42,27,7,6,1,3
Connection: LF_A06,LF_S05,5,3,14,26,3,1
Connection: LF_A07,LF_C05,23,30,23,8,1,3
Connection: LF_A07,LF_D08,9,2,199,31,3,1
Connection: LF_A10,LF_B02,40,1,8,45,0,3
Connection: LF_A10,LF_D01,6,1,197,7,2,3
Connection: LF_A11,LF_C02,2,29,126,5,1,0
Connection: LF_A11,LF_D08,43,15,3,6,0,2
Connection: LF_A11,LF_E03,5,13,241,1,2,0
Connection: LF_A12,LF_E02,5,29,221,1,1,3
Connection: LF_A12,LF_D01,26,30,15,2,1,3
Connection: LF_A13,LF_D02,2,31,98,6,1,3
Connection: LF_A13,LF_C01,43,6,4,21,3,2
Connection: LF_A14,LF_D04,44,15,6,12,0,2
Connection: LF_A14,LF_H02,5,12,203,12,3,0
Connection: LF_A14,LF_A15,11,12,30,27,3,1
Connection: LF_A15,LF_B01,7,7,44,58,3,3
Connection: LF_A17,LF_B02,48,11,2,16,0,2
Connection: LF_B01,LF_E04,18,54,254,5,3,3
Connection: LF_B02,LF_D03,45,20,2,51,0,2
Connection: LF_B03,LF_E01,97,21,14,7,0,3
Connection: LF_B03,LF_F02,46,5,57,95,0,3
Connection: LF_B04,LF_S02,4,32,22,14,2,0
Connection: LF_B04,LF_D04,4,10,100,55,2,3
Connection: LF_B05,LF_F02,5,48,99,11,2,3
Connection: LF_B05,LF_E05,39,13,15,10,0,2
Connection: LF_C01,LF_E04,152,15,17,3,3,3
Connection: LF_C02,LF_E05,4,20,253,25,2,0
Connection: LF_D02,LF_E03,97,49,7,7,3,3
Connection: LF_D03,LF_D06,10,4,42,141,3,0
Connection: LF_D04,LF_D06,3,51,42,12,3,3
Connection: LF_D06,LF_S07,8,143,24,19,1,2
Connection: LF_F02,LF_S01,8,11,22,18,3,0
