GATE_DS_SB: -358.3125,480.375,-65.9532,87.60946,1,0
GATE_LF_SB: 1702.964,1603.151,1367.223,1199.196,1,0
GATE_SB_GW: 4980.918,812.9283,3626.199,651.8699,1,0
GATE_SB_SL: 950.9644,806.152,727.2239,495.1948,0,0
GATE_SH_SB: -2489.003,840.907,-1605.954,521.7137,0,0
SB_A01: -541.5951,814.759,-254.4917,479.4289,0,1
SB_A02: -981.5957,-1155.24,-594.4916,-739.5706,1,2
SB_A03: -1458.594,744.7593,-873.4946,401.4289,0,1
SB_A04: 182.4043,470.7599,-72.49132,350.429,1,1
SB_A05: -535.5961,-1193.24,-331.4916,-758.5709,1,2
SB_A06: -1057.594,-1387.24,-747.4927,-889.5706,1,2
SB_A07: -2225.591,-1387.24,-1463.492,-873.5709,1,2
SB_A08: -2190.593,-1042.24,-1450.492,-594.5706,1,2
SB_A09: -1320.187,850.4681,-807.3768,536.0771,1,1
SB_A10: 1691.693,1354.094,1369.483,1055.217,1,0
SB_A11: -405.5337,714.4601,-184.4256,352.1245,0,1
SB_A12: -683.5338,709.4598,-318.4247,356.1248,0,1
SB_A13: 1069.984,1168.078,855.6846,854.9983,1,0
SB_A14: -2504.452,-1210.359,-1713.21,-722.4929,1,2
SB_B01: 1307.406,1183.76,976.5073,859.4297,1,0
SB_B02: 442.4038,423.7599,202.5087,231.4291,1,1
SB_B03: -2341.594,-1149.24,-1564.492,-724.5706,1,2
SB_C01: -1755.594,775.7599,-1178.492,412.4286,0,1
SB_C05: 579.4037,-11.24031,334.5081,-63.57199,2,0
SB_C06: 811.4037,181.7598,725.5065,183.4288,2,0
SB_C07: -126.5945,811.7593,-134.4906,483.4282,0,1
SB_C08: -2530.532,-1860.646,-1867.225,-1283.715,1,2
SB_C09: -513.5355,-1945.646,-424.2239,-1530.715,1,2
SB_D01: -2947.219,-1789.605,-2100.026,-1242.127,1,2
SB_D02: -400.5962,-1046.24,-369.4914,-606.5709,1,2
SB_D03: -2903.594,-1204.24,-2158.491,-721.5706,1,2
SB_D04: 1347.406,265.7593,1071.506,134.4283,2,3
SB_D05: -1022.594,-1039.24,-804.4927,-598.5709,1,2
SB_D06: 582.4048,-805.2407,459.5077,-467.5721,2,0
SB_D07: -3205.594,-1502.24,-2224.493,-1098.57,1,2
SB_E01: -1864.219,-1838.605,-1533.025,-1322.127,1,2
SB_E02: 3414.406,814.7593,2349.506,653.4294,1,1
SB_E03: -1568.594,-1309.24,-1309.49,-839.5709,1,2
SB_E04: 2604.405,803.7593,1820.508,647.4294,1,1
SB_E05: 309.4048,-1029.24,61.50827,-595.5709,1,0
SB_E06: -1025.224,-1837.605,-993.0234,-1359.127,1,2
SB_F01: 1413.408,683.759,1065.508,507.4286,2,3
SB_F02: 1102.403,-38.24044,842.5073,-1.571697,2,3
SB_F03: 1518.427,1298.563,1229.361,809.6238,1,0
SB_G02: 4355.407,817.7593,2878.506,656.4294,1,1
SB_G03: -72.593,948.7593,-264.4927,620.4291,1,1
SB_H01: -1071.196,610.8423,-752.9078,268.8751,0,1
SB_H02: -944.5952,886.7593,-690.4927,539.4294,1,1
SB_H03: 1895.406,873.7593,1392.508,647.4294,1,0
SB_I01: 763.4037,-397.2404,489.5081,-96.57153,2,3
SB_J01: 856.4048,1002.758,503.5088,626.4291,1,1
SB_J02: 483.4054,732.7596,195.5074,398.4282,0,1
SB_J03: 2192.406,464.7599,1304.508,423.4286,2,0
SB_J04: -1729.592,-1131.24,-1331.492,-704.5709,1,2
SB_L01: -100.2227,-2174.605,-286.0232,-1706.127,1,2
SB_Q01: -2220.701,751.9601,-1499.499,414.4568,0,1
SB_S01: 688.5623,-164.887,599.1332,222.5261,2,0
SB_S02: 4833.297,710.3243,3501.167,516.751,1,0
SB_S03: 2611.679,373.1776,1985.184,294.4737,2,0
SB_S04: 336.4027,529.3503,-63.28209,227.5114,1,0
SB_S05: -2344.272,861.4698,-1488.34,538.691,0,0
SB_S06: 53.54732,913.6385,74.78774,359.507,0,0
SB_S07: 1460.7,675.4518,1291.687,552.016,1,0
OffScreenDen_SB: 898.4048,-117.2404,220.5078,-29.57181,1,1
Connection: GATE_LF_SB,SB_F03,2,9,50,209,2,0
Connection: GATE_SB_GW,SB_G02,2,9,354,7,2,0
Connection: GATE_SB_SL,SB_J02,11,19,232,68,1,1
Connection: GATE_SH_SB,SB_S05,45,13,14,6,0,2
Connection: GATE_SH_SB,SB_Q01,36,5,6,22,3,2
Connection: SB_A01,SB_H02,3,17,199,21,2,0
Connection: SB_A01,SB_A12,6,4,41,29,3,0
Connection: SB_A01,SB_A11,48,7,5,21,0,1
Connection: SB_A02,SB_D05,3,29,95,2,2,0
Connection: SB_A02,SB_A05,46,16,2,32,0,2
Connection: SB_A02,SB_A06,11,6,43,33,3,1
Connection: SB_A03,SB_A09,46,31,6,3,1,3
Connection: SB_A03,SB_C01,3,11,138,10,2,3
Connection: SB_A03,SB_H01,40,3,2,57,3,2
Connection: SB_A04,SB_S04,48,27,11,13,0,2
Connection: SB_A04,SB_G03,3,25,174,7,2,3
Connection: SB_A04,SB_B02,48,6,7,7,0,3
Connection: SB_A05,SB_D02,41,32,74,5,1,3
Connection: SB_A06,SB_E03,4,30,251,6,2,0
Connection: SB_A07,SB_B03,5,33,43,3,1,3
Connection: SB_A07,SB_E03,45,30,3,6,0,2
Connection: SB_A08,SB_B03,3,11,44,55,2,0
Connection: SB_A08,SB_J04,44,3,3,54,0,2
Connection: SB_A09,SB_H02,45,16,11,20,0,2
Connection: SB_A10,SB_F03,5,12,47,139,2,3
Connection: SB_A11,SB_C07,45,16,19,8,0,3
Connection: SB_A12,SB_H01,3,9,202,60,2,0
Connection: SB_A13,SB_B01,45,25,8,13,0,3
Connection: SB_A14,SB_D03,3,24,195,22,2,0
Connection: SB_A14,SB_B03,48,18,1,19,0,2
