GATE_DS_SL: -2984.1,2.00295,-2067.739,11.06669,1,0
GATE_GW_SL: 2060.647,47.36768,2012.324,166.6029,0,1
GATE_SB_SL: 131.0786,-498.9614,197.8075,-362.0909,2,0
GATE_SH_SL: 2057.647,183.3677,2011.324,301.603,0,1
GATE_SL_GW: 2213.475,471.7258,1663.35,335.4831,1,0
SL_A02: -1780.376,419.7897,-1277.589,312.007,0,1
SL_A03: -2592.376,180.7898,-1841.589,194.0071,1,1
SL_A04: -1142.376,-52.21002,-807.5878,16.00702,1,1
SL_A05: -1015.378,-130.2103,-670.5878,-47.9929,1,1
SL_A06: -251.3754,-275.2103,-162.5869,-179.993,1,1
SL_A07: -1296.375,-34.21019,-970.588,26.00705,1,1
SL_A08: 244.6223,-245.2102,215.4125,-168.9929,1,1
SL_A10: -2099.375,-76.21002,-1517.589,-35.99281,1,1
SL_A11: -2320.154,94.78966,-1693.034,89.36784,1,1
SL_A12: -1181.154,101.7895,-899.0325,171.3677,1,1
SL_A13: -1039.629,196.7898,-772.2166,153.71,1,1
SL_A14: -2156.499,248.0463,-1571.653,194.1713,1,1
SL_A15: 3753.014,-124.5209,2699.546,-165.2042,0,0
SL_A16: 3135.385,-115.0819,2228.775,-74.92544,0,2
SL_A17: -2914.337,270.4689,-2096.084,198.4676,1,1
SL_AI: 3981.147,-213.1432,2817.39,-223.182,0,2
SL_B01: -1001.377,500.7897,-723.5883,284.007,0,1
SL_B02: -2048.376,421.7897,-1570.589,310.007,0,1
SL_B04: -409.3773,651.7896,-267.5874,555.0071,0,1
SL_C01: -2304.376,400.7897,-1690.589,212.0071,0,1
SL_C02: -1417.375,416.7897,-1125.587,316.007,0,1
SL_C03: -409.7274,288.2646,-277.5877,241.0069,0,1
SL_C04: -806.3777,16.79001,-553.587,-61.99291,1,1
SL_C05: 501.6232,-839.2104,328.413,-640.9929,2,0
SL_C06: -1689.376,-66.21013,-1386.589,-37.99271,1,1
SL_C07: 1865.625,-605.2104,1360.411,-548.9929,2,0
SL_C08: -628.3768,-179.2099,-426.5868,-184.9932,1,1
SL_C09: 2972.624,-236.2102,2018.408,-201.9932,0,2
SL_C10: 159.6245,-737.2102,198.413,-667.9926,2,0
SL_C11: 1884.647,135.3677,2130.324,142.6029,0,1
SL_C12: 1904.074,448.2608,1337.444,323.8329,1,0
SL_D01: -694.3774,348.7897,-537.587,257.0066,0,1
SL_D02: 905.6234,-656.2102,682.4122,-647.9937,2,0
SL_D03: 0.6232646,-339.2103,-31.58831,-265.9933,1,1
SL_D04: 1201.624,-306.2103,830.4122,-290.993,1,1
SL_D05: -2572.376,-67.21016,-1950.589,-29.99265,1,1
SL_D06: -2711.376,416.7897,-2134.589,338.007,0,1
SL_E01: -410.3773,-162.2098,-295.5874,-386.9934,1,1
SL_E02: 1385.622,-703.2104,818.4122,-532.9929,2,0
SL_E03: -1691.533,244.5229,-1436.369,191.5747,1,1
SL_F01: 643.6234,-306.2103,357.4123,-271.9931,1,1
SL_F02: 629.6226,352.7896,457.4129,238.0068,0,1
SL_H01: 1265.688,416.3385,815.675,325.7996,0,1
SL_H02: 47.62305,352.7897,-98.58752,239.0069,0,1
SL_H03: 2092.625,-246.2102,1082.411,-196.9932,1,1
SL_I01: 3446.624,-138.2102,2369.41,-262.993,0,2
SL_Q01: -904.9418,71.79501,-661.4241,134.2212,0,1
SL_Q02: -273.808,42.66166,-154.2077,109.6713,0,1
SL_Q03: -609.3166,68.84196,-407.4369,104.9992,0,1
SL_Q04: 226.0862,72.14839,206.2887,-41.59752,1,1
SL_Q05: 10.70624,160.4818,80.76463,108.958,1,1
SL_Q06: 190.8311,402.0753,341.1085,221.8798,1,1
SL_S02: -2863.988,-66.52051,-1944.449,-156.2053,2,0
SL_S03: 1724.7,-595.5628,1242.032,-408.5789,2,0
SL_S04: -1122.3,55.43765,-800.9689,-115.5793,1,0
SL_S05: 810.6984,-769.5628,556.0319,-516.5789,2,0
SL_S06: 3729.074,-30.73877,2696.44,-39.1672,0,0
SL_S07: 2099.582,378.789,1567.654,225.3097,1,0
SL_S08: -193.2885,-172.3184,-26.40624,-46.43454,1,0
SL_S09: 621.7985,353.8062,498.2566,94.33306,1,0
SL_S10: 2979.121,-114.6007,2111.056,-78.14616,0,0
SL_S11: -2668.828,338.0195,-1972.977,196.4224,1,0
OffScreenDen_SL: -672.376,-471.2103,-1109.589,553.0071,1,1
Connection: GATE_DS_SL,SL_D05,45,9,5,31,0,2
Connection: GATE_DS_SL,SL_S02,36,5,17,17,3,2
Connection: GATE_SB_SL,SL_C10,36,5,30,112,3,1
Connection: GATE_SL_GW,SL_C12,2,9,143,17,2,0
Connection: GATE_SL_GW,SL_S07,11,5,29,18,3,0
Connection: SL_A02,SL_B02,10,28,104,32,3,3
Connection: SL_A02,SL_C02,7,10,14,9,3,3
Connection: SL_A03,SL_A17,3,30,44,4,2,0
Connection: SL_A03,SL_A14,44,27,2,4,0,2
Connection: SL_A04,SL_A07,4,29,39,23,2,0
Connection: SL_A04,SL_A12,21,31,27,3,1,3
Connection: SL_A04,SL_S04,28,31,24,13,1,3
Connection: SL_A04,SL_A13,35,31,16,2,1,3
Connection: SL_A04,SL_A05,9,10,4,30,0,2
Connection: SL_A05,SL_C04,42,29,4,28,0,2
Connection: SL_A06,SL_E01,2,17,45,66,2,0
Connection: SL_A06,SL_D03,45,17,2,60,0,2
Connection: SL_A07,SL_C06,11,18,141,27,2,0
Connection: SL_A08,SL_Q04,9,32,12,1,1,3
Connection: SL_A08,SL_D03,4,18,92,70,2,0
Connection: SL_A08,SL_F01,47,15,6,58,0,2
Connection: SL_A10,SL_D05,3,18,201,16,2,0
Connection: SL_A10,SL_C06,44,18,2,15,0,2
Connection: SL_A11,SL_C01,31,32,24,21,1,3
