GATE_LF_SU: 1615,-173.7758,808.1206,586.069,1,0
GATE_SU_CC: 690.3591,660.9256,567.2687,593.2563,0,0
GATE_SU_DS: -1863.677,-77.23112,-1405.617,-159.2083,2,0
GATE_SU_HI: 1465,-174.7758,921.1206,586.069,1,0
GATE_SU_LF: 2382.321,170.7686,1837.384,114.7917,1,0
SU_A01: -122.5923,-289.8218,-130.0407,-233.0212,1,1
SU_A02: -140.7591,-195.6367,-117.5176,-100.5581,0,1
SU_A04: -2004.759,163.3628,-1553.517,100.4417,2,1
SU_A06: -488.7587,-136.6367,-355.5173,-100.5582,0,1
SU_A07: -615.7606,33.36338,-447.5173,67.44176,2,1
SU_A10: 1886.241,174.3628,1424.483,104.4416,1,1
SU_A12: -2050.759,-114.6372,-1550.517,-139.5582,2,1
SU_A13: -1790.759,167.3629,-1417.517,99.44135,2,1
SU_A17: 1207.24,94.36308,955.4849,-63.55829,0,1
SU_A20: -825.759,-22.63686,-600.5167,-35.55832,2,1
SU_A22: -306.7589,-575.6373,-253.5171,-500.5585,0,0
SU_A23: -203.7587,-467.6372,-163.5176,-374.5582,0,0
SU_A24: -31.75861,-468.6372,6.482355,-430.5582,0,0
SU_A25: -30.75861,-357.6369,-22.5176,-298.5585,0,0
SU_A29: -651.759,-83.63678,-479.5173,-93.55824,2,1
SU_A30: 642.2413,128.3628,524.4827,36.44167,0,1
SU_A31: -295.7587,-153.6369,-223.5173,-88.55816,0,1
SU_A32: 963.2413,72.3634,784.4827,-51.55791,0,1
SU_A33: 575.2413,362.3631,444.4827,360.4418,0,1
SU_A34: 317.2413,292.3631,291.4827,122.4422,1,1
SU_A35: 494.2408,178.3631,446.483,232.4416,1,1
SU_A36: -2024.759,-7.636671,-1546.517,-25.55818,2,1
SU_A37: -391.7585,11.36334,-269.5176,99.44176,1,1
SU_A38: -335.7585,-57.6367,-232.5176,3.442029,1,1
SU_A39: -1837.759,-13.63678,-1406.517,-26.55809,2,1
SU_A40: 1412.24,108.363,1176.485,-41.55809,0,1
SU_A41: -524.6553,-475.252,-426.659,-381.3953,1,0
SU_A42: -515.6553,-373.2519,-412.659,-256.3954,1,0
SU_A43: -363.6554,-468.2519,-285.6591,-384.3953,1,0
SU_A44: -370.6554,-475.252,-503.659,-496.3953,2,0
SU_A45: 1124.922,192.9258,911.5969,93.72885,1,0
SU_A53: 43.24137,-233.6367,6.482393,-172.5582,0,1
SU_A63: 1306.241,190.3633,1037.483,83.44166,1,1
SU_B01: 946.2413,243.3629,777.4827,96.44166,1,1
SU_B02: 735.241,318.3631,582.483,233.4416,1,1
SU_B04: -55.75846,-27.63672,-106.5171,65.44171,1,1
SU_B05: 785.2396,107.3632,640.4827,-24.55795,0,1
SU_B06: 157.2413,221.3628,99.48241,199.4418,1,1
SU_B07: 270.2395,-196.6367,143.4836,-178.5582,0,1
SU_B08: -1102.759,11.36322,-853.5167,-58.55813,2,1
SU_B09: 495.2413,176.3631,408.4827,22.44178,0,1
SU_B10: 493.241,-66.63708,389.483,-168.5583,0,1
SU_B11: 345.2413,404.3631,218.4827,371.4413,1,1
SU_B12: 1596.24,184.3633,1179.483,105.4422,1,1
SU_B13: 574.2408,583.3627,445.4827,496.4419,0,1
SU_B14: 2125.552,157.3516,1582.114,106.3215,1,0
SU_C01: -2221.76,29.36304,-1683.517,-93.55858,2,1
SU_C02: -1545.76,1.363322,-1223.517,-63.55822,2,1
SU_C04: -838.6558,-479.252,-762.6589,-389.3953,1,0
SU_S01: -438.7356,-586.9942,-372.4697,-505.7012,0,0
SU_S03: 1106.679,295.1302,915.5922,222.3481,1,0
SU_S04: -394.676,122.5076,-256.0521,223.77,1,0
OffScreenDen_SU: -1368.759,896.3634,-463.517,510.441,1,0
Connection: GATE_SU_CC,SU_B13,2,9,26,56,2,0
Connection: GATE_SU_DS,SU_A12,2,9,49,22,2,0
Connection: GATE_SU_LF,SU_B14,2,9,98,14,2,0
Connection: SU_A01,SU_A53,44,28,8,7,0,2
Connection: SU_A01,SU_A25,35,6,15,24,0,1
Connection: SU_A02,SU_A31,4,21,44,7,2,0
Connection: SU_A02,SU_A53,49,21,3,29,0,2
Connection: SU_A04,SU_A13,37,11,5,12,0,2
Connection: SU_A04,SU_C01,4,7,44,83,2,0
Connection: SU_A06,SU_A38,49,27,6,5,0,2
Connection: SU_A06,SU_A29,4,25,49,20,2,0
Connection: SU_A06,SU_A31,49,6,3,3,0,3
Connection: SU_A07,SU_A37,49,12,6,23,0,2
Connection: SU_A07,SU_A20,4,10,47,28,2,0
Connection: SU_A10,SU_B12,4,19,99,13,2,0
Connection: SU_A10,SU_B14,49,10,3,14,0,2
Connection: SU_A12,SU_C01,4,22,44,15,2,0
Connection: SU_A13,SU_A39,40,3,25,33,3,1
Connection: SU_A17,SU_A40,48,22,2,17,0,2
Connection: SU_A17,SU_A32,6,11,39,31,2,1
Connection: SU_A20,SU_B08,5,20,102,8,2,0
Connection: SU_A20,SU_A29,49,12,5,26,0,2
Connection: SU_A22,SU_A43,23,27,34,12,1,3
Connection: SU_A22,SU_A23,29,27,6,12,1,2
Connection: SU_A22,SU_S01,12,16,31,18,2,0
Connection: SU_A23,SU_A25,42,30,6,14,0,2
Connection: SU_A23,SU_A24,46,9,14,10,0,3
Connection: SU_A24,SU_A25,38,24,48,5,1,3
Connection: SU_A25,SU_A53,41,27,29,3,0,3
Connection: SU_A30,SU_B05,43,15,8,57,0,3
Connection: SU_A30,SU_B09,14,11,48,8,3,0
Connection: SU_A31,SU_A38,3,29,27,8,1,3
Connection: SU_A32,SU_B05,2,10,36,16,2,0
Connection: SU_A33,SU_B13,14,34,15,16,1,3
Connection: SU_A33,SU_B02,44,31,5,66,0,2
Connection: SU_A33,SU_B11,3,27,95,12,2,0
Connection: SU_A34,SU_B06,2,12,40,69,2,0
Connection: SU_A34,SU_B09,45,2,2,48,0,2
Connection: SU_A35,SU_B09,14,27,29,51,1,3
Connection: SU_A35,SU_B02,48,22,3,3,0,2
Connection: SU_A36,SU_A39,48,26,6,26,0,2
Connection: SU_A36,SU_C01,5,5,45,41,2,0
Connection: SU_A37,SU_S04,23,31,23,18,1,3
Connection: SU_A37,SU_B04,47,23,7,33,0,2
Connection: SU_A38,SU_B04,48,5,4,2,0,2
Connection: SU_A39,SU_C02,37,26,8,19,0,2
Connection: SU_A40,SU_A63,2,24,29,2,2,3
Connection: SU_A41,SU_A42,19,29,10,3,2,3
Connection: SU_A41,SU_A43,48,23,6,23,0,2
Connection: SU_A41,SU_C04,5,9,151,11,2,0
Connection: SU_A41,SU_A44,47,5,4,5,0,2
Connection: SU_A45,SU_A63,44,20,10,23,0,2
Connection: SU_A45,SU_B01,3,18,48,23,2,0
Connection: SU_A53,SU_B07,46,19,5,23,0,2
Connection: SU_A63,SU_B12,39,25,5,25,0,2
Connection: SU_B01,SU_S03,48,53,18,17,0,2
Connection: SU_B01,SU_B02,5,51,49,26,2,0
Connection: SU_B01,SU_B05,5,21,49,69,2,0
Connection: SU_B04,SU_B06,100,22,9,45,0,3
Connection: SU_B06,SU_B11,40,73,10,3,0,3
Connection: SU_B07,SU_B10,99,25,22,47,0,3
Connection: SU_B08,SU_C02,1,7,144,9,2,0
Connection: SU_B09,SU_B10,24,12,22,74,3,1
