GATE_CC_UW: 89.5185,246.1852,-170.4446,108.2223,1,0
GATE_SH_UW: -1534.253,-2434.805,-1072.171,-1556.234,1,0
GATE_SS_UW: -112.816,2580.646,-59.98002,1950.748,0,0
GATE_UW_SI: 4298.813,28.85367,3068.37,21.83361,0,0
GATE_UW_SS: 1770.451,98.85475,1187.842,86.3885,0,0
UW_A01: -2189.634,1777.117,-1483.988,1387.465,0,3
UW_A02: -2163.634,400.1179,-1492.988,363.4648,0,3
UW_A03: 559.3658,-156.8821,405.0111,-117.5351,0,2
UW_A04: 2358.365,-339.8818,1720.011,-265.5352,0,2
UW_A05: 2096.365,-192.8821,1515.011,-140.5349,0,2
UW_A06: 1389.367,-203.8821,995.0106,-134.5348,0,2
UW_A07: -1389.633,-1646.882,-947.9869,-1084.536,1,1
UW_A08: -292.632,-178.8821,-178.9882,-112.5351,0,2
UW_A09: -1243.633,-1207.882,-838.9869,-797.5353,1,1
UW_A10: 544.032,-46.9823,399.8446,0.3985378,0,2
UW_A11: 1386.035,-71.98232,983.8436,-26.6015,0,2
UW_A12: -1993.539,2482.328,-1328.243,1861.938,0,0
UW_A13: -2003.508,1136.414,-1352.02,899.4368,0,3
UW_A14: -1993.542,2593.018,-1329.19,1983.563,0,0
UW_B01: -981.9664,-370.0996,-707.2141,-261.6898,0,2
UW_C01: -570.634,-350.8822,-469.9889,-240.5348,0,2
UW_C02: 2202.365,-465.8822,1595.011,-458.5352,0,2
UW_C03: 2670.366,-351.8822,1842.012,-285.5348,0,2
UW_C04: 3902.368,-190.8821,2713.01,-189.5345,0,0
UW_C05: -1676.633,-341.8825,-1270.989,-203.5349,0,0
UW_C06: -1241.633,-1527.882,-825.9869,-1087.536,1,1
UW_C07: -422.5447,2596.018,-380.1908,1959.563,0,0
UW_C08: 1462.117,60.70058,868.0952,80.00549,0,2
UW_D01: -2131.634,87.1175,-1490.988,4.465017,0,3
UW_D02: -1390.633,-2196.884,-956.9858,-1556.536,1,1
UW_D03: -1533.633,-760.8826,-1081.988,-632.5353,1,1
UW_D04: -1294.633,-453.8822,-948.9869,-336.5352,1,0
UW_D05: 1740.366,-341.8818,1075.009,-258.5351,0,2
UW_D06: 3051.368,-281.8821,2165.01,-284.5352,1,0
UW_D07: -2059.634,-275.8822,-1497.988,-197.5348,0,3
UW_E01: -2178.634,1412.118,-1490.988,943.4636,0,3
UW_E02: -1536.633,-1729.882,-1071.988,-1286.536,1,1
UW_E03: -1390.633,-1209.882,-955.9869,-962.535,1,1
UW_E04: 134.3681,-347.8822,-92.98862,-252.5347,0,2
UW_F01: -2194.968,2221.018,-1483.155,1533.397,0,3
UW_H01: -1267.966,2593.017,-1212.158,1955.396,0,0
UW_I01: 978.3666,-53.88242,530.0109,-127.535,0,2
UW_J01: -2262.634,803.1174,-1598.988,501.4648,0,3
UW_J02: 974.3666,-402.8822,491.0108,-336.5352,0,2
UW_Q02: 3443.329,-216.5765,2392.857,-194.3331,0,0
UW_Q03: 4336.598,-133.9611,3032.569,-181.9676,0,0
UW_S01: -1246.232,-2308.096,-844.8627,-1495.343,1,0
UW_S02: 1251.767,-165.0967,857.1373,-133.343,0,0
UW_S03: -1859.815,1132.648,-1246.979,905.7476,0,0
UW_S04: -1968.565,-103.9589,-1356.778,10.32484,0,0
UW_S05: 3281.365,-376.7369,2395.24,-300.8499,1,0
UW_S06: -1241.818,-1309.124,-725.3287,-779.7673,1,0
UW_S07: 91.5185,368.1853,-170.4446,244.2222,1,0
OffScreenDen_UW: 1355.366,132.1177,1905.012,-521.5353,1,0
Connection: GATE_SH_UW,UW_D02,43,23,4,19,1,2
Connection: GATE_SS_UW,UW_C07,2,9,146,4,2,0
Connection: GATE_UW_SI,UW_Q03,2,9,11,64,2,1
Connection: GATE_UW_SS,UW_C08,2,9,133,20,2,3
Connection: UW_A01,UW_F01,50,30,55,10,0,0
Connection: UW_A01,UW_E01,50,15,52,183,0,0
Connection: UW_A02,UW_J01,52,28,96,28,0,3
Connection: UW_A02,UW_D01,52,13,52,145,0,0
Connection: UW_A03,UW_A10,3,29,7,2,2,3
Connection: UW_A03,UW_E04,3,3,248,31,3,1
Connection: UW_A03,UW_J02,40,4,4,71,3,1
Connection: UW_A04,UW_C02,3,31,44,115,2,1
Connection: UW_A04,UW_C03,43,31,4,39,0,1
Connection: UW_A05,UW_D05,5,26,210,27,3,1
Connection: UW_A05,UW_C02,42,3,12,117,3,2
Connection: UW_A06,UW_A11,18,32,20,3,1,3
Connection: UW_A06,UW_J02,3,19,246,71,3,1
Connection: UW_A06,UW_D05,43,19,18,24,3,1
Connection: UW_A07,UW_C06,43,14,4,9,0,2
Connection: UW_A07,UW_E02,4,8,45,103,2,0
Connection: UW_A08,UW_C01,2,4,146,29,3,1
Connection: UW_A08,UW_E04,44,4,5,31,3,1
Connection: UW_A09,UW_E03,4,11,29,89,2,3
Connection: UW_A09,UW_S06,16,8,16,24,3,1
Connection: UW_A09,UW_C06,39,8,40,103,3,1
Connection: UW_A10,UW_I01,42,19,4,58,3,2
Connection: UW_A11,UW_I01,4,23,151,58,2,0
Connection: UW_A12,UW_A14,6,29,6,4,1,3
Connection: UW_A12,UW_H01,44,21,6,4,0,3
Connection: UW_A12,UW_F01,3,10,55,203,2,0
Connection: UW_A13,UW_E01,5,27,42,21,2,0
Connection: UW_A13,UW_S03,45,27,20,27,0,2
Connection: UW_A13,UW_J01,5,6,110,197,2,0
Connection: UW_B01,UW_C01,93,39,16,29,1,1
Connection: UW_B01,UW_D04,4,19,106,61,2,0
Connection: UW_C03,UW_D06,143,19,3,12,0,3
Connection: UW_C04,UW_Q03,149,35,3,31,1,1
Connection: UW_C04,UW_Q02,5,17,125,21,2,3
Connection: UW_C05,UW_D07,4,9,99,9,2,0
Connection: UW_C05,UW_D04,130,7,5,65,3,2
Connection: UW_C07,UW_H01,4,5,393,8,2,0
Connection: UW_C08,UW_I01,3,23,147,99,2,0
Connection: UW_D01,UW_D07,47,16,46,70,0,0
Connection: UW_D02,UW_E02,4,146,42,9,2,3
Connection: UW_D02,UW_S01,43,19,23,10,0,3
Connection: UW_D03,UW_D04,43,148,12,8,0,3
Connection: UW_D03,UW_E03,41,17,4,182,0,2
Connection: UW_D06,UW_Q02,101,65,4,22,0,2
Connection: UW_D06,UW_S05,99,11,16,15,0,2
Connection: UW_D07,UW_S04,85,68,25,10,1,3
Connection: UW_E02,UW_E03,43,182,4,9,3,2
Connection: UW_I01,UW_S02,147,17,18,18,0,2
