Palette: 9
Subregion: Garbage Wastes
Room Setting Templates: Outside, Inside
Room_Attr: GATE_SL_GW: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_A22: StandardGroundCreature-1,Slugcat-1,LizardTemplate-1,PinkLizard-1,GreenLizard-1,BlueLizard-1,YellowLizard-1,WhiteLizard-1,RedLizard-1,BlackLizard-1,Salamander-1,Fly-1,Leech-1,SeaLeech-1,Snail-1,Vulture-1,GarbageWorm-1,LanternMouse-1,CicadaA-1,CicadaB-1,Spider-1,JetFish-1,BigEel-1,Deer-1,TubeWorm-1,DaddyLongLegs-1,BrotherLongLegs-1,TentaclePlant-1,PoleMimic-1,MirosBird-1,TempleGuard-1,Centipede-1,RedCentipede-1,Centiwing-1,SmallCentipede-1,Scavenger-1,EggBug-1,DropBug-4,KingVulture-1,
Room_Attr: GW_C02: Vulture-3,DaddyLongLegs-2,BrotherLongLegs-2,KingVulture-3,
Room_Attr: GW_A13: DaddyLongLegs-2,BrotherLongLegs-2,Centipede-2,RedCentipede-2,DropBug-2,
Room_Attr: GW_C04: DaddyLongLegs-2,BrotherLongLegs-2,
Room_Attr: GW_B08: DaddyLongLegs-2,BrotherLongLegs-2,
Room_Attr: GW_A19: DaddyLongLegs-2,BrotherLongLegs-2,Centipede-3,DropBug-3,
Room_Attr: GW_C03: Vulture-3,DaddyLongLegs-2,BrotherLongLegs-2,RedCentipede-2,Scavenger-3,DropBug-1,KingVulture-3,
Room_Attr: GW_S06: DaddyLongLegs-1,BrotherLongLegs-1,SmallCentipede-2,
Room_Attr: GW_B06: DaddyLongLegs-2,BrotherLongLegs-2,Centipede-3,DropBug-3,
Room_Attr: GW_E01: DaddyLongLegs-3,BrotherLongLegs-3,Centipede-3,RedCentipede-3,
Room_Attr: GW_D02: DaddyLongLegs-1,BrotherLongLegs-1,Centipede-3,RedCentipede-3,DropBug-3,
Room_Attr: GW_S03: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_B09: DaddyLongLegs-1,BrotherLongLegs-1,Centipede-3,RedCentipede-3,
Room_Attr: GW_B01: Vulture-2,KingVulture-2,
Room_Attr: GW_B05: DaddyLongLegs-3,BrotherLongLegs-3,Centipede-3,DropBug-3,
Room_Attr: GW_S07: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_A05: Snail-3,DaddyLongLegs-3,BrotherLongLegs-3,
Room_Attr: GW_A08: Snail-3,DaddyLongLegs-3,BrotherLongLegs-3,
Room_Attr: GW_C10: DaddyLongLegs-3,BrotherLongLegs-3,Centipede-3,RedCentipede-3,DropBug-3,
Room_Attr: GW_C09: DaddyLongLegs-3,BrotherLongLegs-3,Centipede-3,RedCentipede-3,
Room_Attr: GW_C08: DaddyLongLegs-3,BrotherLongLegs-3,Centipede-3,DropBug-3,
Room_Attr: GW_A06: Snail-3,DaddyLongLegs-3,BrotherLongLegs-3,
Room_Attr: GW_S01: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_B03: DaddyLongLegs-3,BrotherLongLegs-3,
