GATE_LF_GW: -2659.63,192.3359,-1891.992,211.5902,1,0
GATE_SL_GW: -1997.631,-391.6641,-1375.992,-302.4098,0,0
GATE_SB_GW: 144.3692,-573.6641,239.0068,-582.4098,1,0
GW_A22: -2489.807,166.1579,-1770.564,195.0624,1,0
GW_C02: -2149.218,173.7365,-1641.373,198.186,1,1
GW_A13: -1817.217,124.7365,-1291.373,198.1862,1,1
GW_C04: -1589.218,244.7365,-1240.372,326.186,1,1
GW_B08: -1187.217,245.7365,-897.373,327.1862,1,1
GW_A19: -1726.217,-27.26345,-1184.373,64.18574,1,1
GW_C03: -1270.218,-191.2637,-1013.374,5.185731,0,1
GW_S06: -1287.766,-291.3571,-922.4529,-128.6035,0,0
GW_B06: -824.2172,-320.2635,-540.3727,-276.8138,0,1
GW_E01: -255.2177,-200.2633,-396.3741,-163.8143,0,1
GW_D02: -1247.217,-432.2633,-988.3738,-329.8144,0,1
GW_S03: -1011.686,-333.5589,-694.8641,-208.6494,0,0
GW_B09: -1738.218,-421.2633,-1241.373,-310.8144,0,1
GW_B01: -860.2177,247.7365,-646.3739,336.186,1,1
GW_B05: -612.2177,145.7366,-403.3737,225.1857,1,1
GW_S07: -772.0549,170.954,-521.0973,102.1739,0,0
GW_A05: -663.2177,5.736552,-406.3741,-17.81395,0,1
GW_A08: -450.2177,0.7365525,-276.3739,-17.8142,0,1
GW_C10: -99.2179,9.736799,-153.3746,-14.81426,0,1
GW_C09: 225.7827,-191.2633,181.6262,-247.8124,0,1
GW_C08: 136.7828,158.7363,4.626224,214.1857,2,1
GW_A06: -193.2171,167.7365,-123.374,238.1861,2,1
GW_S01: -231.2172,266.7366,-34.37401,361.1862,2,0
GW_B03: -429.2177,219.7365,-278.3741,256.1861,1,1
GW_A14: -392.2176,38.73666,-272.3741,110.186,1,1
GW_A21: -261.4405,251.5155,-149.5709,355.8361,1,1
GW_A01: 448.7823,206.7366,345.6259,184.186,2,1
GW_B04: 601.7827,29.73653,435.6261,-26.81371,2,1
GW_S08: 440.2097,49.84133,314.0441,25.30154,2,0
GW_B07: 768.783,43.73666,579.6254,-31.8139,1,1
GW_A07: 644.7823,-87.26347,479.6263,-148.8139,1,1
GW_A04: 461.7825,-84.26347,345.6259,-164.814,1,1
GW_C11: 842.6215,-210.0054,492.6989,-271.0806,1,1
GW_C07: 453.7828,-352.2636,352.6259,-466.8144,1,1
GW_A20: 344.7929,-607.6548,358.6422,-589.7172,1,0
