GATE_HI_CC: 1562.444,771.1737,1107.81,518.6323,1,0
GATE_HI_DS: 1308.818,-217.8597,949.8243,-150.9747,1,0
GATE_SH_HI: -2195.182,127.1402,-1530.175,122.0254,1,0
HI_C11: 1554.991,469.5826,1095.933,199.8667,1,1
HI_A10: 1373.991,319.5826,978.9327,210.8668,1,1
HI_A20: 1630.992,172.5826,1112.933,78.86677,1,1
HI_S05: 1447.42,442.3404,996.7676,350.1396,0,0
HI_A17: 1367.991,184.5828,971.9327,81.86687,1,1
HI_A15: 1102.992,207.5826,852.9327,89.86683,1,1
HI_B13: 1039.992,375.5826,760.9327,214.8668,0,1
HI_B04: 957.9918,67.58246,724.9327,-18.13309,0,1
HI_C05: 564.991,-15.41753,374.9331,-25.13315,0,1
HI_B15: 752.9913,-536.4174,485.9327,-475.1333,2,1
HI_C04: 209.9911,-118.4177,226.9327,-224.1331,0,1
HI_A25: 395.9909,-157.4174,359.9329,-137.1331,1,1
HI_A19: 588.9909,-205.4174,492.9329,-162.1332,1,1
HI_C13: 940.1348,-248.231,622.8292,-166.1664,1,1
HI_S02: 955.3045,-367.5238,742.2748,-287.1351,1,0
HI_B05: 23.99138,118.5824,93.93285,-48.13322,0,1
HI_A23: 32.99151,-249.4172,97.93285,-216.1332,0,1
HI_A21: -3.008799,419.5825,96.93273,158.867,0,0
HI_A22: 4.99108,564.5827,94.93285,276.8666,0,1
HI_B02: 10.99101,600.5827,95.93273,395.8668,1,1
HI_B12: -49.00849,365.5823,-25.06713,257.8668,1,1
HI_A06: -116.0091,113.5825,-105.0676,124.8668,1,1
HI_C01: -306.009,138.5828,-242.0672,59.86678,2,1
HI_C14: -258.7706,-243.2322,-239.8423,-228.4453,2,1
HI_A16: -275.0091,-483.4173,-270.0669,-344.1332,2,1
HI_B03: 3.991019,-446.4173,-133.0672,-357.1332,2,1
HI_B09: -466.0083,277.5825,-373.0671,141.8668,1,1
HI_B07: -636.0086,459.5825,-551.0673,365.8667,1,1
HI_A07: -912.0086,517.5823,-701.0673,358.8666,1,1
HI_S01: -942.3512,647.9967,-703.3771,483.5697,1,0
HI_A18: -1164.009,443.5825,-852.0673,307.8668,1,1
HI_B06: -1267.009,100.5821,-975.0673,106.8665,1,1
HI_C03: -678.0091,-52.41774,-510.0674,-97.13299,1,1
HI_A11: -844.0086,74.58223,-623.0673,85.86655,1,1
HI_C02: -1008.009,-28.41762,-767.0673,-89.13318,1,1
HI_B14: -1013.009,-396.4177,-736.0673,-315.1335,1,1
HI_S04: -1175.08,-317.0972,-865.1699,-226.8604,1,0
HI_B08: -622.0091,-471.4177,-542.0673,-351.1335,2,1
HI_A14: -656.0086,-304.4178,-478.0673,-230.1335,2,1
HI_A27: -474.6907,-304.3323,-360.282,-220.8053,2,1
HI_D01: -1786.01,101.5821,-1416.066,111.8665,1,1
HI_S06: -2087.125,-10.51107,-1486.17,-7.766345,1,0
HI_A24: 254.9914,-528.4175,106.9327,-396.1332,2,1
HI_S03: 415.4094,-496.7353,235.8301,-381.8603,2,0
HI_A26: 412.9913,-600.4174,237.9331,-511.1334,2,1
