GATE_SI_CC: -114.9351,-714.4318,-27.28594,-613.1411,0,0
GATE_UW_SI: -2798.089,67.61539,-1910.692,279.8836,1,0
SI_B13: -277.318,-585.0657,-148.1902,-596.3638,0,1
SI_D07: -559.9296,-587.4131,-398.2919,-581.6238,0,1
SI_C09: -866.6311,-536.0439,-555.4716,-587.6407,0,1
SI_B03: -865.8572,-207.1738,-538.1125,-275.9599,0,1
SI_B12: -866.8572,52.82596,-535.1127,-22.96024,0,1
SI_D06: -464.8581,-262.1736,-415.1124,-237.9601,2,1
SI_S04: -397.4672,-380.4154,-230.3653,-363.9887,2,0
SI_B10: -480.8581,-126.1741,-255.1122,-127.9599,2,1
SI_A27: -396.8585,27.82616,-190.1127,65.03978,2,1
SI_C06: -220.8581,-63.17393,-60.11255,-127.9597,2,1
SI_C08: 85.14226,-252.1738,13.88782,-244.9601,1,1
SI_B01: 497.1427,-258.1736,329.8882,-237.9601,1,1
SI_C04: 918.1416,-242.1739,557.8875,-225.9603,1,1
SI_C02: 1427.141,-258.1739,893.8873,-213.9603,1,1
SI_C07: 1417.141,1.826156,1003.887,130.0399,1,1
SI_A17: 1258.142,-251.1741,875.8873,-333.9601,0,1
SI_A18: 1564.141,-256.174,1137.887,-335.9599,0,1
SI_C05: 1410.141,-385.1736,989.8873,-539.9601,2,1
SI_A21: 1534.819,-533.8835,1136.017,-582.4438,2,1
SI_S05: 1530.532,-358.4155,1134.634,-460.9887,2,0
SI_D05: 1345.141,-91.17374,873.8881,-86.96008,0,1
SI_B11: 1582.141,-82.17374,1122.887,-85.95995,0,1
SI_A02: 959.1413,40.82624,678.8881,73.03978,0,1
SI_C01: 510.1416,152.8261,277.8878,156.0399,0,1
SI_A23: 69.14192,286.8264,95.88764,273.0401,0,1
SI_B09: -311.8581,229.8262,-184.1121,318.0399,1,1
SI_A20: -261.1803,202.1165,-71.98283,191.5562,2,1
SI_A28: -332.8476,125.4802,-183.2863,190.8589,2,1
SI_D03: -724.8572,35.82623,-639.1119,256.0399,1,1
SI_C03: -1274.859,35.82623,-981.1131,256.0402,1,1
SI_Q01: -2124.375,36.94998,-1802.65,258.5251,1,1
SI_D01: -308.8584,405.8263,-184.1121,439.0402,1,1
SI_S03: -374.5467,383.374,-311.2882,494.2484,2,0
SI_B02: -306.8584,607.8261,-180.1121,679.0396,1,2
SI_B04: -295.8584,811.8259,-127.1121,808.0399,1,2
SI_A06: -294.8584,1011.826,-120.1121,1039.04,1,2
SI_A07: -295.8584,1145.826,-117.1121,1179.04,1,2
OffScreenDen_SI: -890.8583,767.8259,-957.112,-201.9603,1,1
Connection: GATE_SI_CC,SI_B13,2,9,48,46,2,3
Connection: GATE_UW_SI,SI_Q01,43,6,11,15,3,2
Connection: SI_B13,SI_D07,9,69,102,70,2,0
Connection: SI_D07,SI_C09,9,71,50,71,1,1
Connection: SI_C09,SI_B03,14,104,7,11,2,3
Connection: SI_B03,SI_B12,29,72,31,8,2,3
Connection: SI_B03,SI_D06,49,14,3,11,0,2
Connection: SI_D06,SI_B10,77,33,8,15,1,2
Connection: SI_D06,SI_C08,197,12,4,15,0,2
Connection: SI_D06,SI_S04,129,13,28,30,3,1
Connection: SI_B10,SI_A27,36,75,9,8,1,2
Connection: SI_A27,SI_B09,18,33,11,5,1,3
Connection: SI_A27,SI_C06,38,6,16,92,0,2
Connection: SI_C06,SI_C08,43,14,15,36,0,2
Connection: SI_C08,SI_B01,141,36,8,10,0,3
Connection: SI_B01,SI_C04,101,10,15,5,3,2
Connection: SI_C04,SI_D05,139,36,9,12,0,2
Connection: SI_C04,SI_C02,139,5,6,7,0,3
Connection: SI_C02,SI_C07,68,7,12,18,3,3
Connection: SI_C02,SI_A17,53,9,43,10,2,0
Connection: SI_C02,SI_A18,100,9,4,10,0,2
Connection: SI_A17,SI_C05,13,2,10,88,3,3
Connection: SI_A18,SI_C05,21,1,43,88,3,3
Connection: SI_A18,SI_S05,27,4,31,9,3,0
Connection: SI_C05,SI_A21,29,24,3,17,3,2
Connection: SI_D05,SI_A02,23,60,45,13,3,3
Connection: SI_D05,SI_B11,87,7,11,7,3,3
Connection: SI_A02,SI_C01,6,13,137,9,3,3
Connection: SI_C01,SI_A23,29,9,28,6,3,3
Connection: SI_A23,SI_D01,27,30,86,52,3,0
Connection: SI_B09,SI_A20,93,10,41,17,2,0
Connection: SI_B09,SI_D03,16,10,192,17,3,0
Connection: SI_A20,SI_A28,17,11,41,27,3,1
Connection: SI_A28,SI_D01,6,27,45,18,1,0
Connection: SI_D03,SI_C03,24,6,138,6,3,3
Connection: SI_C03,SI_Q01,15,5,379,5,2,3
Connection: SI_D01,SI_B02,17,67,5,21,3,3
Connection: SI_D01,SI_S03,49,49,32,23,3,0
Connection: SI_B02,SI_B04,80,15,39,19,2,3
Connection: SI_B04,SI_A06,24,72,23,8,3,3
Connection: SI_A06,SI_A07,21,33,23,7,1,3
