GATE_UW_SS: 1452.005,122.549,1077.299,84.34923,0,0
GATE_UW_SI: 200.3673,476.548,3026.827,1.794399,1,0
GATE_SH_UW: 2354.301,-2362.109,-1182.715,-1558.274,1,0
GATE_SS_UW: -648.2621,2440.342,124.4748,2016.708,0,0
UW_Q01: 637.2546,294.1176,2905.764,-71.88224,1,1
UW_C04: -1554.078,-271.1879,2605.467,-195.5738,0,2
UW_C05: -2330.079,-430.1882,2281.467,-179.5742,1,0
UW_D06: -1944.078,-358.1882,2054.467,-286.5744,1,0
UW_S05: 2648.92,-2317.043,-946.3036,-1546.889,1,0
UW_C03: 2203.921,-329.1882,1731.468,-287.5741,0,2
UW_A04: -537.08,-263.1877,1609.467,-267.5743,0,2
UW_C02: -375.0802,-392.1882,1484.467,-460.5745,0,2
UW_A05: -258.0804,-204.1879,1404.467,-142.5743,0,2
UW_D05: -963.0797,-264.1877,964.4662,-260.5743,0,2
UW_A06: 1080.921,-208.1879,884.4662,-136.5742,0,2
UW_A11: 1072.589,-32.28804,873.299,-28.64069,0,2
UW_I01: 667.92,-25.18811,419.4659,-129.5743,0,2
UW_S02: 971.3212,-140.4025,746.5923,-135.3824,0,0
UW_A10: 236.586,-20.28802,289.2998,-1.640674,0,2
UW_A03: 249.9197,-199.1879,294.4663,-119.5743,0,2
UW_J02: 666.92,-381.1882,380.466,-338.5745,0,2
UW_C08: 1136.671,90.3949,757.55,77.96623,0,2
UW_E04: 1506.922,-320.1882,-203.5335,-254.574,0,2
UW_A08: 1934.922,-206.1879,-289.5333,-114.5743,0,2
UW_C01: -23.08008,-316.1882,-580.5338,-242.5742,0,2
UW_B01: 2909.588,-340.4057,-817.7593,-263.7291,0,0
UW_D04: 2590.921,-415.1882,-1073.532,-338.5745,1,0
UW_D07: -2720.079,-365.1882,-1307.532,-226.5742,0,3
UW_S04: -2629.011,-193.2646,-1198.322,-8.71438,0,0
UW_D01: -2792.079,-2.188201,-1337.532,-10.57419,0,3
UW_A02: -2796.079,1052.812,-1342.532,353.4254,0,3
UW_J01: -2881.079,675.8116,-1469.532,501.4256,0,3
UW_A13: -2631.954,1702.107,-1201.564,913.3975,0,3
UW_S03: -2518.261,1702.342,-1084.523,895.7083,0,0
UW_E01: -2795.079,1398.813,-1351.532,957.4243,0,3
UW_A01: -2791.079,301.8118,-1347.532,1402.425,0,3
UW_F01: -2795.413,2042.711,-1341.699,1537.357,0,3
UW_A12: -2498.985,2336.023,-1191.787,1893.898,0,0
UW_A14: -2499.987,2454.714,-1179.734,2021.523,0,0
UW_H01: -1813.412,2452.711,-1052.701,1979.356,0,0
UW_C07: -965.9907,2456.714,-206.7356,2005.523,0,0
UW_D03: 2347.921,-724.1882,-1192.532,-634.5746,1,1
UW_E03: 2505.921,-1164.188,-1066.532,-964.5743,1,1
UW_A09: 2683.921,-1163.188,-949.5323,-799.5746,1,1
UW_S06: 2683.736,-1249.43,-835.8741,-781.8066,1,0
UW_C06: 2680.921,-1504.188,-936.5323,-1089.576,1,1
UW_A07: 2506.921,-1633.188,-1058.532,-1086.576,1,1
UW_E02: 2344.921,-1684.188,-1182.532,-1288.576,1,1
UW_D02: 2502.921,-2150.188,-1067.531,-1558.576,1,1
UW_S01: -1712.678,-413.4022,2286.592,-307.3825,1,0
OffScreenDen_UW: 694.92,42.81193,1794.468,-523.5746,1,0
Connection: GATE_UW_SS,UW_C08,2,9,133,20,2,3
Connection: GATE_UW_SI,UW_Q01,2,9,40,26,2,0
Connection: GATE_SH_UW,UW_D02,43,23,4,19,1,2
Connection: GATE_SS_UW,UW_C07,2,9,146,4,2,0
Connection: UW_Q01,UW_C04,8,23,149,35,3,1
Connection: UW_C04,UW_C05,5,17,130,7,2,3
Connection: UW_C05,UW_D06,4,9,101,65,2,0
Connection: UW_D06,UW_S05,99,11,16,15,0,2
Connection: UW_D06,UW_C03,3,12,143,19,3,0
Connection: UW_C03,UW_A04,4,39,43,31,1,0
Connection: UW_A04,UW_C02,3,31,44,115,2,1
Connection: UW_C02,UW_A05,12,117,42,3,2,3
Connection: UW_A05,UW_D05,5,26,210,27,3,1
Connection: UW_D05,UW_A06,18,24,43,19,1,3
Connection: UW_A06,UW_A11,18,32,20,3,1,3
Connection: UW_A06,UW_J02,3,19,246,71,3,1
Connection: UW_A11,UW_I01,4,23,151,58,2,0
Connection: UW_I01,UW_C08,147,99,3,23,0,2
Connection: UW_I01,UW_A10,4,58,42,19,2,3
Connection: UW_I01,UW_S02,147,17,18,18,0,2
Connection: UW_I01,UW_J02,4,17,83,71,2,1
Connection: UW_A10,UW_A03,7,2,3,29,3,2
Connection: UW_A03,UW_E04,3,3,248,31,3,1
